Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.5596539,0.016393442,0.0,0.47459018,0.7677596,0.59358287,0.61600924,0.4889868,0.51425064,0.75510204,0.7679739,0.0,0,0
2,0.5590037,0.016393442,0.0,0.47281414,0.7629779,0.5946429,0.6199436,0.4889868,0.51794684,0.7585421,0.77196234,0.0,0,0
3,0.57325846,0.010928961,0.0,0.48788694,0.7632056,0.6014298,0.63475215,0.4970458,0.5346944,0.76131225,0.78087854,0.0,0,0
4,0.5365111,0.008733625,0.008733625,0.4848616,0.69577855,0.59311116,0.60488343,0.49835294,0.52908164,0.73236513,0.7060378,0.03640672,15,0
5,0.52229923,0.011235955,0.011235955,0.4852059,0.65855163,0.586798,0.595611,0.50236166,0.5395533,0.7053529,0.6646676,0.0997372,23,0
6,0.5120485,0.019417476,0.01618123,0.48673138,0.6329556,0.58168393,0.5927948,0.50747424,0.55091023,0.6813149,0.6415721,0.16278751,19,0
7,0.45393544,0.016483517,0.03021978,0.43553108,0.5574632,0.5724562,0.5607249,0.5110835,0.553419,0.65058017,0.5682262,0.17136873,6,0
8,0.41255543,0.018957347,0.056872036,0.39857817,0.502962,0.5613212,0.5329455,0.5143594,0.5565915,0.61771995,0.5112268,0.17317002,3,0
9,0.37498918,0.016632017,0.09147609,0.36164233,0.4572071,0.5491841,0.5065861,0.51696897,0.55860186,0.58568114,0.4634323,0.17319646,2,0
10,0.34416556,0.014787431,0.13308688,0.3315464,0.41882303,0.53635526,0.48235705,0.5193454,0.56150883,0.55451715,0.42276326,0.17314605,1,2
11,0.31641427,0.013311148,0.1514143,0.30427054,0.38505256,0.5234997,0.4608512,0.5215691,0.5642579,0.52544475,0.3894754,0.17062412,1,0
12,0.2970994,0.012121212,0.17121212,0.28507924,0.3617423,0.5114764,0.4448678,0.5240658,0.5699296,0.49947762,0.3648151,0.16933575,2,0
13,0.2784059,0.011111111,0.19027779,0.26648465,0.33946747,0.49991474,0.42796677,0.5264859,0.5742423,0.47589678,0.34108335,0.16996776,1,0
14,0.26440766,0.010256411,0.21025641,0.252161,0.32318357,0.48912346,0.41797993,0.5291622,0.5816258,0.45471752,0.32620037,0.1714734,1,0
