Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
298,NP1,,,
340,NP2,,,
361,NP3,,,
361,NP4,,,
361,NP5,,,
361,NP6,,,
382,NP7,,,
403,NP8,,,
403,NP9,,,
403,NP10,,,
448,NP11,,,
448,NP12,,,
448,NP13,,,
448,NP14,,,
448,NP15,,,
472,NP16,,,
472,NP17,,,
494,NP18,,,
525,NP19,,,
525,NP20,,,
558,NP21,,,
558,NP22,,,
580,NP23,,,
580,NP24,,,
651,NP25,,,
651,NP26,,,
702,NP27,,,
816,NP28,,,
816,NP29,,,
849,NP30,,,
925,NP31,,,
979,NP32,,,
1047,NP33,,,
1094,NP34,,,
1287,NP35,,,
1324,NP36,,,
1347,NP37,,,
1347,NP38,,,
1553,NP39,,,
1553,NP40,,,
2000,NP41,,,
2000,NP42,,,
2597,NP43,,,
2781,NP44,,,
2781,NP45,,,
2949,NP46,,,
2949,NP47,,,
