Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.9929743,0.9508197,0.0,0.98770493,1.0,0.989899,0.9881699,0.98,0.97661656,1.0,1.0,0.0,0,0
2,0.98403585,0.92622954,0.0,0.9747268,1.0,0.9854097,0.98031986,0.9712389,0.96139944,1.0,1.0,0.0,0,0
3,0.97862387,0.8956044,0.0,0.9661174,0.9981685,0.98054475,0.9724998,0.9628821,0.94893897,0.9988675,0.9972603,0.0017857144,1,0
4,0.9807892,0.909465,0.0,0.97037053,0.9972566,0.97965986,0.9761673,0.962017,0.95660055,0.99796194,0.9965512,0.0027972027,0,0
5,0.9807383,0.90789473,0.0,0.97209436,0.995614,0.9793562,0.97660804,0.96247816,0.95898855,0.9968369,0.99488705,0.0032967036,0,0
6,0.9783494,0.8931507,0.0,0.96958894,0.9938355,0.97832626,0.97333694,0.96174186,0.9549098,0.9954926,0.99248916,0.003587444,0,0
7,0.9780327,0.8943662,0.0,0.96948344,0.99393576,0.977741,0.9736287,0.9613504,0.9551883,0.9947001,0.9927951,0.0038314175,0,0
8,0.9733528,0.8767967,0.0,0.9629019,0.99360013,0.97647923,0.96923566,0.95955217,0.94782007,0.9940142,0.9916412,0.0039999997,0,0
9,0.9710878,0.8759124,0.0,0.9655108,0.9879257,0.9753912,0.9684153,0.95897734,0.9513362,0.9923767,0.9861189,0.0042168675,0,0
10,0.96586096,0.8649094,0.0,0.96611744,0.9789676,0.9736099,0.96391475,0.95879704,0.9521905,0.98888755,0.9759313,0.0072500138,2,0
11,0.9643163,0.8588589,0.0,0.96749246,0.9745748,0.972062,0.9629507,0.9589312,0.95386446,0.9855574,0.9722117,0.012906015,2,0
12,0.96084356,0.8476454,0.0,0.9659972,0.9702912,0.9702793,0.95945966,0.958743,0.95191,0.98209673,0.96713006,0.021721851,5,0
13,0.9554872,0.8333333,0.0,0.9627138,0.9641458,0.968258,0.95468956,0.95821285,0.94888467,0.97851604,0.96056604,0.03292411,3,0
14,0.9512761,0.82437277,0.0,0.9604741,0.95862263,0.9662658,0.95198727,0.9577855,0.9487211,0.97489756,0.955276,0.042667016,4,0
15,0.9514725,0.8232662,0.0,0.9609062,0.9581848,0.96461684,0.9517153,0.9574468,0.94896394,0.971895,0.9544827,0.054140933,4,0
16,0.9510438,0.8207547,0.0,0.9631029,0.95571345,0.96324563,0.9518313,0.9574708,0.95189965,0.9690905,0.95176286,0.0645624,1,0
