Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
527,NP1,,,
527,NP2,,,
527,NP3,,,
527,NP4,,,
527,NP5,,,
527,NP6,,,
527,NP7,,,
527,NP8,,,
527,NP9,,,
527,NP10,,,
527,NP11,,,
527,NP12,,,
527,NP13,,,
527,NP14,,,
527,NP15,,,
527,NP16,,,
527,NP17,,,
527,NP18,,,
1350,NP19,,,
1350,NP20,,,
1350,NP21,,,
1350,NP22,,,
1350,NP23,,,
1350,NP24,,,
1350,NP25,,,
1350,NP26,,,
1350,NP27,,,
1350,NP28,,,
1350,NP29,,,
1350,NP30,,,
1350,NP31,,,
1350,NP32,,,
1350,NP33,,,
1350,NP34,,,
1350,NP35,,,
1350,NP36,,,
1350,NP37,,,
1350,NP38,,,
1350,NP39,,,
1350,NP40,,,
1350,NP41,,,
1350,NP42,,,
1350,NP43,,,
1350,NP44,,,
1350,NP45,,,
1350,NP46,,,
1350,NP47,,,
1350,NP48,,,
1350,NP49,,,
