shortTermMemoryLimit,windowsSize,threshold,k_ini,F1M,precision,recall,subsetAccuracy,NP,unk,unkRemoved
0.1,200,1.1,0.01,1.0,0.9012377,0.2173913,0.9012377,1,4,0
0.1,200,1.1,0.05,1.0,0.9024554,0.2173913,0.9024554,1,3,0
0.1,200,1.1,0.1,1.0,0.9848067,0.3043478,0.9848067,1,8,0
0.1,200,1.1,0.25,1.0,0.9279423,0.23913044,0.9279423,1,15,0
0.1,500,1.1,0.01,1.0,0.9023681,0.2173913,0.9023681,1,5,0
0.1,500,1.1,0.05,1.0,0.9017158,0.2173913,0.9017158,1,3,0
0.1,500,1.1,0.1,1.0,0.8990786,0.2173913,0.8990786,1,4,0
0.1,500,1.1,0.25,0.9927527,0.9134182,0.23913044,0.9134182,2,12,0
0.1,1000,1.1,0.01,1.0,0.9017158,0.2173913,0.9017158,1,3,0
0.1,1000,1.1,0.05,1.0,0.90419495,0.2173913,0.90419495,1,2,0
0.1,1000,1.1,0.1,1.0,0.93145263,0.23913044,0.93145263,1,6,0
0.1,1000,1.1,0.25,0.993278,0.91111714,0.23913044,0.91111714,2,15,0
0.1,2000,1.1,0.01,1.0,0.8990786,0.2173913,0.8990786,1,4,0
0.1,2000,1.1,0.05,1.0,0.9024554,0.2173913,0.9024554,1,3,0
0.1,2000,1.1,0.1,1.0,0.9350539,0.23913044,0.9350539,1,4,0
0.1,2000,1.1,0.25,0.965293,0.8275252,0.2173913,0.8275252,3,13,0
0.25,200,1.1,0.01,1.0,0.9024554,0.2173913,0.9024554,1,3,0
0.25,200,1.1,0.05,1.0,0.899888,0.2173913,0.899888,1,4,0
0.25,200,1.1,0.1,1.0,0.9350539,0.23913044,0.9350539,1,4,0
0.25,200,1.1,0.25,0.9972181,0.9132975,0.23913044,0.9132975,3,20,0
0.25,500,1.1,0.01,1.0,0.90419495,0.2173913,0.90419495,1,2,0
0.25,500,1.1,0.05,1.0,0.9348915,0.23913044,0.9348915,1,5,0
0.25,500,1.1,0.1,1.0,0.9350539,0.23913044,0.9350539,1,4,0
0.25,500,1.1,0.25,1.0,1.0,1.0,1.0,0,24,0
0.25,1000,1.1,0.01,1.0,0.90164435,0.2173913,0.90164435,1,4,0
0.25,1000,1.1,0.05,1.0,0.899888,0.2173913,0.899888,1,4,0
0.25,1000,1.1,0.1,1.0,0.9662197,0.26086956,0.9662197,1,7,0
0.25,1000,1.1,0.25,0.9768548,0.9755096,0.9755096,0.9755096,2,27,0
0.25,2000,1.1,0.01,1.0,0.899888,0.2173913,0.899888,1,4,0
0.25,2000,1.1,0.05,1.0,0.90062755,0.2173913,0.90062755,1,4,0
0.25,2000,1.1,0.1,1.0,0.96573704,0.26086956,0.96573704,1,8,0
0.25,2000,1.1,0.25,0.9782609,0.9782609,0.9782609,0.9782609,0,23,0
0.5,200,1.1,0.01,1.0,0.90412503,0.2173913,0.90412503,1,3,0
0.5,200,1.1,0.05,1.0,0.9333113,0.23913044,0.9333113,1,5,0
0.5,200,1.1,0.1,1.0,0.9017158,0.2173913,0.9017158,1,3,0
0.5,200,1.1,0.25,0.94896173,0.87355065,0.26086956,0.87355065,3,16,0
0.5,500,1.1,0.01,1.0,0.9017158,0.2173913,0.9017158,1,3,0
0.5,500,1.1,0.05,1.0,0.9319587,0.23913044,0.9319587,1,6,0
0.5,500,1.1,0.1,1.0,0.9333113,0.23913044,0.9333113,1,5,0
0.5,500,1.1,0.25,0.90819174,0.76446,0.17420165,0.7598831,4,21,0
0.5,1000,1.1,0.01,1.0,0.9024554,0.2173913,0.9024554,1,3,0
0.5,1000,1.1,0.05,1.0,0.94811285,0.23913044,0.94811285,1,6,0
0.5,1000,1.1,0.1,1.0,0.9333113,0.23913044,0.9333113,1,5,0
0.5,1000,1.1,0.25,0.9614929,0.8516413,0.23913044,0.8516413,3,18,0
0.5,2000,1.1,0.01,1.0,0.90412503,0.2173913,0.90412503,1,3,0
0.5,2000,1.1,0.05,1.0,0.90419495,0.2173913,0.90419495,1,2,0
0.5,2000,1.1,0.1,1.0,0.9350539,0.23913044,0.9350539,1,4,0
0.5,2000,1.1,0.25,0.92330337,0.7637011,0.21070236,0.7637011,3,11,0
0.75,200,1.1,0.01,1.0,0.90412503,0.2173913,0.90412503,1,3,0
0.75,200,1.1,0.05,1.0,0.90419495,0.2173913,0.90419495,1,2,0
0.75,200,1.1,0.1,1.0,0.9839786,0.3043478,0.9839786,1,10,0
0.75,200,1.1,0.25,0.9608956,0.8918879,0.26086956,0.8918879,3,14,0
0.75,500,1.1,0.01,1.0,0.9017158,0.2173913,0.9017158,1,3,0
0.75,500,1.1,0.05,1.0,0.9024554,0.2173913,0.9024554,1,3,0
0.75,500,1.1,0.1,1.0,0.93145263,0.23913044,0.93145263,1,6,0
0.75,500,1.1,0.25,1.0,0.9222094,0.23913044,0.9222094,1,11,0
0.75,1000,1.1,0.01,1.0,0.9034163,0.2173913,0.9034163,1,4,0
0.75,1000,1.1,0.05,1.0,0.9017158,0.2173913,0.9017158,1,3,0
0.75,1000,1.1,0.1,1.0,0.899888,0.2173913,0.899888,1,4,0
0.75,1000,1.1,0.25,0.9565695,0.8631625,0.2173913,0.8631625,2,13,0
0.75,2000,1.1,0.01,1.0,0.90396345,0.2173913,0.90396345,1,3,0
0.75,2000,1.1,0.05,1.0,0.90062755,0.2173913,0.90062755,1,4,0
0.75,2000,1.1,0.1,1.0,0.9656382,0.26086956,0.9656382,1,9,0
