Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.9357783,0.74594295,0.0,0.959709,0.9376963,0.93016213,0.9288221,0.955196,0.959771,0.9064069,0.8998069
MINAS-BR,2,0.93555236,0.743841,0.0,0.9598264,0.9372001,0.93021154,0.92980814,0.955512,0.9611106,0.9062163,0.90048033
MINAS-BR,3,0.9345257,0.73511297,0.0,0.961919,0.9330765,0.9292894,0.92766947,0.9568016,0.9630951,0.9033152,0.89475745
MINAS-BR,4,0.9337709,0.72606194,0.0,0.966634,0.92662084,0.92827004,0.9253069,0.95946985,0.9678697,0.8990354,0.8863298
MINAS-BR,5,0.9328527,0.7179746,0.0,0.9695745,0.92193574,0.9272445,0.9235055,0.96190846,0.97084504,0.894992,0.88056797
MINAS-BR,6,0.9296949,0.7012161,0.0,0.9717961,0.91437787,0.9255674,0.919131,0.9640267,0.972877,0.890059,0.8710124
MINAS-BR,7,0.92756504,0.69056606,0.0,0.9735983,0.9088754,0.92388195,0.91636914,0.9658628,0.97458196,0.88539845,0.8647186
MINAS-BR,8,0.92507523,0.67741936,0.0,0.97509784,0.9031494,0.92212725,0.913583,0.9674673,0.9760983,0.88084656,0.8585933
MINAS-BR,9,0.92264193,0.6664164,1.2512512E-4,0.97608024,0.89808214,0.92040676,0.911302,0.9688443,0.97726774,0.8765819,0.85367846
MINAS-BR,10,0.91893697,0.65042573,1.1278407E-4,0.97676635,0.8913139,0.9184632,0.9074192,0.9699896,0.97782356,0.87213486,0.84647226
MINAS-BR,11,0.9148272,0.633188,3.0777123E-4,0.9768912,0.88419825,0.9162995,0.9033006,0.970912,0.9779375,0.86750364,0.8392485
MINAS-BR,12,0.9106743,0.61616683,3.766301E-4,0.9766562,0.8773798,0.9139954,0.8993812,0.9716183,0.97780466,0.8628246,0.83260345
MINAS-BR,13,0.9063473,0.60060936,5.2230683E-4,0.9758571,0.8706742,0.91162425,0.8957449,0.972124,0.9773999,0.8582137,0.8266814
MINAS-BR,14,0.90197444,0.5861706,8.906522E-4,0.97438586,0.86442107,0.90918845,0.89186865,0.9723832,0.9762352,0.8537064,0.8209241
MINAS-BR,15,0.8972601,0.5712393,0.0013627072,0.97287065,0.8574779,0.90667325,0.8877505,0.9724839,0.97523135,0.8492052,0.8146722
MINAS-BR,16,0.8925871,0.55817425,0.0018129465,0.9705407,0.85122,0.9041252,0.88392216,0.97236425,0.97335243,0.84483594,0.8095425
MINAS-BR,17,0.88830155,0.54656565,0.0017171717,0.9681457,0.84576464,0.9016009,0.66027194,0.9720496,0.7284348,0.84067357,0.6037742
MINAS-BR,18,0.88411385,0.5366185,0.0016468613,0.96563363,0.8405942,0.89913905,0.65782696,0.97158456,0.72691464,0.8367476,0.60073197
MINAS-BR,19,0.88234687,0.5443142,0.0016785692,0.9618113,0.84054536,0.8969786,0.898893,0.97092134,0.9556149,0.83350146,0.84852743
MINAS-BR,20,0.87901884,0.5440657,0.0017070771,0.95619464,0.8396954,0.8949347,0.8910479,0.9697905,0.93789077,0.83080685,0.84866154
MINAS-BR,21,0.87505853,0.54159105,0.0018154811,0.9501891,0.8380725,0.8929357,0.88656175,0.968251,0.9284796,0.8284915,0.8482654
MINAS-BR,22,0.8711926,0.54021394,0.0018350548,0.94419736,0.8363667,0.89098805,0.88370603,0.9664051,0.92289287,0.82648987,0.8477115
MINAS-BR,23,0.86676323,0.5365933,0.0018778638,0.93783635,0.8340608,0.889023,0.8803385,0.96424294,0.916751,0.8246896,0.84670794
MINAS-BR,24,0.861948,0.53157884,0.0019414683,0.9318195,0.8308222,0.8870119,0.8775242,0.96184987,0.9128244,0.822979,0.84485257
MINAS-BR,25,0.8575941,0.52679,0.002022756,0.92600894,0.82817876,0.88499033,0.87467635,0.9592703,0.9082053,0.8213871,0.8435348
MINAS-BR,26,0.85234064,0.5204654,0.0020752384,0.9196491,0.82449687,0.88288933,0.8709819,0.95650035,0.9031388,0.8197988,0.84103614
MINAS-BR,27,0.8473862,0.514242,0.002187812,0.91421974,0.82054025,0.8807535,0.8682337,0.95365745,0.90066063,0.81820446,0.8380607
MINAS-BR,28,0.8423146,0.50701,0.0023332445,0.90885353,0.81635404,0.87858444,0.86570877,0.9507745,0.8989389,0.8165833,0.83484775
MINAS-BR,29,0.83683115,0.4990522,0.0026064292,0.9031855,0.8117233,0.8763517,0.8626738,0.94783497,0.8970826,0.8148946,0.8308071
MINAS-BR,30,0.8313328,0.4913489,0.0027851434,0.89764786,0.8070053,0.8740672,0.8594545,0.94486135,0.89484733,0.8131421,0.82675487
MINAS-BR,31,0.8255931,0.4829514,0.0030628436,0.89206314,0.80187756,0.8717266,0.85602015,0.9418702,0.8927982,0.81130636,0.8221524
MINAS-BR,32,0.81993806,0.47464928,0.0034670718,0.88658136,0.7968264,0.8693281,0.85226774,0.93885916,0.89052707,0.8093857,0.8171605
MINAS-BR,33,0.81380576,0.46547005,0.0039675664,0.8809153,0.79122066,0.8668626,0.84835845,0.93582696,0.8880092,0.80736506,0.81209725
MINAS-BR,34,0.8077977,0.45683163,0.004320199,0.87532765,0.78563106,0.8643467,0.8445057,0.9327891,0.88553387,0.8052615,0.80711114
MINAS-BR,35,0.8015562,0.4480298,0.004605059,0.8696448,0.7797819,0.8617752,0.84042144,0.929749,0.88295853,0.8030634,0.80179447
MINAS-BR,36,0.7949785,0.43870762,0.005048821,0.8638906,0.77338755,0.8591288,0.83577734,0.9266991,0.88014877,0.8007426,0.79566497
MINAS-BR,37,0.78834635,0.42973012,0.005360812,0.85811603,0.7669144,0.85642153,0.83117205,0.92364734,0.87731254,0.79831755,0.78964233
MINAS-BR,38,0.7818223,0.4205775,0.005687546,0.85273683,0.760376,0.85365474,0.8263892,0.9206064,0.87453413,0.79578114,0.7832687
MINAS-BR,39,0.7751071,0.41197613,0.0055450425,0.84700805,0.7536355,0.850803,0.68846977,0.91751134,0.713759,0.79313725,0.6649112
MINAS-BR,40,0.7670927,0.4030071,0.005412759,0.8400649,0.7452695,0.8478019,0.7112252,0.9143784,0.7748633,0.79026246,0.65724677
MINAS-BR,41,0.7587922,0.39425567,0.0052882666,0.8326451,0.7366675,0.8446605,0.71302044,0.91120523,0.7914134,0.7871737,0.64875805
MINAS-BR,42,0.7508912,0.38576078,0.0051684533,0.8256917,0.7283905,0.84140337,0.7131684,0.90800655,0.80019933,0.78390336,0.6432116
MINAS-BR,43,0.74265254,0.37749195,0.005054084,0.8183214,0.71983784,0.8380308,0.70725566,0.90477276,0.7980927,0.78045905,0.6349834
MINAS-BR,44,0.73419726,0.3694535,0.004943309,0.810589,0.71109873,0.8345399,0.70203435,0.90149885,0.79642916,0.7768399,0.62764436
MINAS-BR,45,0.7262115,0.3617302,0.0048643737,0.80328214,0.70281035,0.8309643,0.6965085,0.8981971,0.79300684,0.77309585,0.62094754
MINAS-BR,46,0.7181374,0.35432598,0.004801063,0.7957939,0.694436,0.82730573,0.69196635,0.8948739,0.7912416,0.76922476,0.6148256
MINAS-BR,47,0.710179,0.34720296,0.00485109,0.78829116,0.6862555,0.8235742,0.6867848,0.8915266,0.7882484,0.7652469,0.60846317
MINAS-BR,48,0.7026045,0.34036687,0.0048869736,0.7811479,0.67848426,0.819788,0.68216497,0.8881575,0.7852383,0.7611922,0.60301137
MINAS-BR,49,0.694844,0.3338646,0.0051236646,0.77356285,0.67053807,0.8159414,0.6762358,0.8847569,0.77999014,0.75705814,0.5968436
MINAS-BR,50,0.6872058,0.32761517,0.005328206,0.7660062,0.66279095,0.8120516,0.6699912,0.8813366,0.7741712,0.7528661,0.59052444
UnkRM,1,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446,0.005550446
UnkRM,2,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474,0.008566474
UnkRM,3,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819,0.009153819
UnkRM,4,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996,0.010395996
UnkRM,5,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524,0.011656524
