Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.89154804,0.71253484,0.0,0.9715877,0.8562674,0.888754,0.8938232,0.9699779,0.97246474,0.8200821,0.8269493
MINAS-BR,2,0.8938625,0.7212748,0.0,0.96393627,0.86692756,0.89184487,0.8978102,0.9631822,0.9620284,0.83034605,0.84162915
MINAS-BR,3,0.90974355,0.7599177,0.0,0.959113,0.89782935,0.90120226,0.9113721,0.9570876,0.9518846,0.8514833,0.87416714
MINAS-BR,4,0.91487795,0.7773086,0.0,0.9535473,0.9106137,0.90753216,0.91665435,0.9521658,0.9453349,0.8668956,0.8896629
MINAS-BR,5,0.91871876,0.78675723,0.0,0.95019805,0.9202226,0.91204774,0.92000985,0.94817567,0.94056547,0.8785718,0.9003335
MINAS-BR,6,0.9198206,0.7888994,0.0,0.9463947,0.92590135,0.91488487,0.9211381,0.94440466,0.93613356,0.8871545,0.90661544
MINAS-BR,7,0.9205446,0.7932669,0.0,0.9437817,0.92895097,0.91691047,0.9217505,0.941422,0.9334544,0.89364296,0.9103364
MINAS-BR,8,0.92057836,0.79635084,0.0,0.9413476,0.9305967,0.9183029,0.9217055,0.93891025,0.9310362,0.89858073,0.91255987
MINAS-BR,9,0.9200932,0.79775715,0.0,0.93892986,0.931518,0.9192361,0.92118365,0.93669534,0.92858446,0.9024159,0.9138999
MINAS-BR,10,0.918683,0.7964016,0.0,0.9366512,0.9308769,0.9196911,0.9197102,0.93468076,0.92624366,0.9051745,0.9132684
MINAS-BR,11,0.9177716,0.79640335,0.0,0.93464535,0.93076444,0.91991264,0.9187811,0.9328406,0.9242073,0.9073381,0.9134183
MINAS-BR,12,0.91608095,0.794942,0.0,0.93212837,0.9298375,0.9198852,0.91744864,0.9310563,0.9218208,0.90897906,0.91311777
MINAS-BR,13,0.913944,0.79222906,0.0,0.92916,0.92860687,0.9196072,0.9155919,0.9292318,0.9189974,0.9101799,0.9122114
MINAS-BR,14,0.9120767,0.79000765,0.0,0.92688966,0.9272004,0.9191763,0.9139703,0.9274782,0.9170915,0.91102177,0.91087025
MINAS-BR,15,0.9095175,0.7855606,0.0,0.92410415,0.9252852,0.918544,0.91194314,0.9257025,0.9146864,0.91149545,0.9092163
MINAS-BR,16,0.9062859,0.77998346,0.0,0.92052656,0.9229377,0.91768086,0.90939635,0.9237937,0.9115335,0.9116484,0.9072692
MINAS-BR,17,0.9034237,0.7752107,0.0,0.9177855,0.9203726,0.9166799,0.75594187,0.9219031,0.7576637,0.91151553,0.7542278
MINAS-BR,18,0.9000566,0.76899403,0.0,0.9150197,0.917012,0.9155154,0.75382584,0.9200138,0.7557747,0.91106075,0.7518871
MINAS-BR,19,0.8857292,0.75224686,0.0,0.90123373,0.9027135,0.9134975,0.88298446,0.91781396,0.8758206,0.9092215,0.8902665
MINAS-BR,20,0.87557256,0.73663366,0.0,0.8912414,0.89378345,0.91100395,0.87720263,0.9153379,0.8702535,0.9067108,0.8842637
MINAS-BR,21,0.8658522,0.72069365,0.0,0.8813488,0.88577867,0.9081404,0.8712543,0.9126058,0.8645567,0.90371853,0.8780565
MINAS-BR,22,0.8565203,0.70507216,0.0,0.872742,0.87727726,0.9049361,0.8646821,0.90966034,0.85931414,0.9002605,0.87011766
MINAS-BR,23,0.84694654,0.68969405,0.0,0.8637316,0.86870366,0.90143067,0.85853314,0.90651363,0.85478026,0.8964043,0.862319
MINAS-BR,24,0.8378637,0.67515665,0.0,0.8553268,0.86039716,0.8976912,0.8526518,0.90320843,0.8506803,0.892241,0.8546323
MINAS-BR,25,0.8274908,0.6596266,0.0,0.84562314,0.85082054,0.8936716,0.8453544,0.89970785,0.844989,0.88771576,0.8457201
MINAS-BR,26,0.81893283,0.6457434,0.0,0.8380142,0.84300196,0.88952416,0.8398216,0.89614624,0.8416064,0.88299924,0.8380444
MINAS-BR,27,0.80923384,0.6311372,0.0,0.8296694,0.83357996,0.8851714,0.8331657,0.8924848,0.837579,0.8779769,0.8287986
MINAS-BR,28,0.8003082,0.61772007,0.0,0.8222613,0.8247011,0.88066924,0.82685643,0.88874406,0.8339372,0.87273985,0.8198948
MINAS-BR,29,0.7902578,0.6035359,0.0,0.8137405,0.8147169,0.87598675,0.8197743,0.88488936,0.8297723,0.86726147,0.8100144
MINAS-BR,30,0.78050894,0.58995706,0.0,0.8059873,0.80461174,0.8711497,0.81281185,0.8809656,0.82605696,0.8615501,0.7999849
MINAS-BR,31,0.77104574,0.5768933,0.0,0.79918194,0.79441756,0.86619407,0.80613077,0.8770447,0.8233296,0.8556087,0.7896357
MINAS-BR,32,0.7614431,0.56355155,0.0,0.7928089,0.7837726,0.861128,0.7993948,0.8731612,0.82114106,0.849422,0.7787705
MINAS-BR,33,0.7531334,0.5512902,0.0,0.7878541,0.7744006,0.8560196,0.79331595,0.869349,0.8193745,0.8430928,0.76886386
MINAS-BR,34,0.74473983,0.53897375,0.0,0.7831708,0.76475555,0.8508734,0.78711104,0.8656242,0.8178151,0.8366168,0.75862914
MINAS-BR,35,0.7361837,0.5268645,0.0,0.778251,0.7549444,0.84568256,0.7805598,0.86195475,0.81565636,0.8300134,0.7483589
MINAS-BR,36,0.7285055,0.51559705,0.0,0.77447236,0.745726,0.84050363,0.7745631,0.8584082,0.81448,0.8233308,0.73837596
MINAS-BR,37,0.7212946,0.50498927,0.0,0.77122676,0.7369824,0.835346,0.7686449,0.8549697,0.813111,0.81660295,0.7287901
MINAS-BR,38,0.7143374,0.4946317,0.0,0.76832587,0.72843206,0.830215,0.76268125,0.8516334,0.81162745,0.8098474,0.71930283
MINAS-BR,39,0.7072005,0.4846927,0.0,0.7648771,0.7198016,0.82510775,0.6484674,0.848368,0.6939827,0.80308896,0.60855496
MINAS-BR,40,0.7007929,0.47600347,0.0,0.76165664,0.71206623,0.8200446,0.6438646,0.8451678,0.69193393,0.7963718,0.60204023
MINAS-BR,41,0.69469583,0.4690371,0.0,0.7581293,0.7042811,0.8151034,0.7324141,0.8421118,0.79397875,0.7897736,0.67970985
MINAS-BR,42,0.68721217,0.45898244,0.0,0.75449115,0.69514734,0.810105,0.72247356,0.8390387,0.7858642,0.7831004,0.6685462
MINAS-BR,43,0.6798043,0.44921604,0.0,0.7508101,0.68617207,0.8050578,0.7135366,0.8359437,0.7780331,0.7763729,0.65891474
MINAS-BR,44,0.67266506,0.43947694,0.0,0.7473635,0.67746645,0.7999908,0.7065234,0.8328519,0.77372044,0.76962435,0.6500657
MINAS-BR,45,0.6654467,0.42998967,0.0,0.7439546,0.6687943,0.79489815,0.6991991,0.829765,0.76973695,0.7628433,0.64050394
MINAS-BR,46,0.6580847,0.4206066,0.0,0.74023783,0.65994084,0.7897829,0.6908756,0.8266793,0.76506716,0.7560393,0.62980133
MINAS-BR,47,0.6509459,0.41172928,0.0,0.73630255,0.6515604,0.7846499,0.6829401,0.8235676,0.76046646,0.74924433,0.6197584
MINAS-BR,48,0.6438709,0.40323085,0.0,0.73255074,0.6430759,0.77950644,0.6748973,0.82045776,0.7567617,0.74244875,0.6090156
MINAS-BR,49,0.6372131,0.39513302,0.0,0.72895324,0.63510823,0.7743669,0.6672415,0.8173486,0.7528876,0.73567986,0.59909075
MINAS-BR,50,0.6304382,0.3872477,0.0,0.7252207,0.626983,0.7692231,0.65930855,0.81423867,0.74911535,0.7289242,0.5887293
UnkRM,1,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318,0.0021620318
UnkRM,2,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093,0.0064391093
UnkRM,3,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235,0.011722235
UnkRM,4,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514,0.015741514
UnkRM,5,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411,0.020861411
UnkRM,6,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842,0.027363842
UnkRM,7,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605,0.032331605
UnkRM,8,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307,0.036416307
UnkRM,9,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187,0.039668187
UnkRM,10,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585,0.044452585
UnkRM,11,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834,0.055108834
UnkRM,12,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195,0.06447195
UnkRM,13,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034,0.0738034
UnkRM,14,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791,0.08219791
UnkRM,15,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817,0.08961817
UnkRM,16,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791,0.09652791
UnkRM,17,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198,0.2526198
UnkRM,18,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035,0.25750035
UnkRM,19,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644,0.14910644
UnkRM,20,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731,0.13013731
UnkRM,21,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968,0.11887968
UnkRM,22,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275,0.110110275
UnkRM,23,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764,0.10385764
UnkRM,24,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958,0.09955958
UnkRM,25,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978,0.09663978
UnkRM,26,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336,0.094590336
UnkRM,27,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514,0.09324514
UnkRM,28,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403,0.09205403
UnkRM,29,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353,0.09134353
UnkRM,30,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476,0.090972476
UnkRM,31,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329,0.09316329
UnkRM,32,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916,0.09571916
UnkRM,33,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401,0.09852401
UnkRM,34,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041,0.10114041
UnkRM,35,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554,0.10393554
UnkRM,36,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913,0.10716913
UnkRM,37,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453,0.11050453
UnkRM,38,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746,0.11348746
UnkRM,39,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871,0.24270871
UnkRM,40,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534,0.24615534
UnkRM,41,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256,0.14491256
UnkRM,42,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796,0.13110796
