Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.9063363,0.7315819,0.0,0.98058254,0.8757853,0.90169626,0.9067071,0.9748122,0.9758546,0.83878326,0.8467105
MINAS-BR,2,0.90265197,0.7227441,0.0,0.9790777,0.8711927,0.8992996,0.9038775,0.97378886,0.9749039,0.83539665,0.8424975
MINAS-BR,3,0.9002044,0.71967965,0.0,0.9762586,0.8692792,0.8973912,0.90189016,0.9720741,0.9728964,0.8333651,0.84054357
MINAS-BR,4,0.8984781,0.717566,0.0,0.9740241,0.86818314,0.89596313,0.90053326,0.97043324,0.97078735,0.83210784,0.83976126
MINAS-BR,5,0.8963392,0.714006,0.0,0.9721838,0.86614066,0.89451444,0.8988525,0.9689725,0.9694437,0.8306828,0.837844
MINAS-BR,6,0.893751,0.70859843,0.0,0.9695392,0.8643243,0.89281076,0.8966454,0.96715885,0.9669868,0.8290773,0.83584374
MINAS-BR,7,0.8897588,0.7027946,0.0,0.9663322,0.86006284,0.89075154,0.89328647,0.96528906,0.9645685,0.8269001,0.83181494
MINAS-BR,8,0.8858789,0.6978863,0.0,0.96217203,0.8567539,0.88854796,0.88990897,0.9631172,0.96108323,0.8246959,0.82854956
MINAS-BR,9,0.88195723,0.6916423,0.0,0.9586667,0.8530619,0.88621473,0.8864333,0.96086305,0.9578762,0.8223289,0.8249078
MINAS-BR,10,0.8788447,0.68869925,0.0,0.95582694,0.84976393,0.8839844,0.88395584,0.9587987,0.9560274,0.8200004,0.82198894
MINAS-BR,11,0.87515354,0.6837772,0.0,0.95310736,0.84544814,0.881727,0.8809569,0.9568822,0.9540674,0.81751764,0.8182538
MINAS-BR,12,0.8736382,0.6857256,0.0,0.948109,0.846543,0.879903,0.87997645,0.9545337,0.94841385,0.8160961,0.8207512
MINAS-BR,13,0.8736157,0.690858,0.0,0.94323105,0.84999734,0.87859887,0.87992287,0.95183545,0.9423708,0.8158271,0.8252371
MINAS-BR,14,0.8730299,0.6938205,0.0,0.93872106,0.85239565,0.87758714,0.8794719,0.94894665,0.93724996,0.8162093,0.8284038
MINAS-BR,15,0.87167066,0.6939023,0.0,0.9338506,0.85410875,0.8766668,0.87837744,0.94584024,0.9317268,0.81692165,0.8308066
MINAS-BR,16,0.8684638,0.6923956,0.0,0.92748237,0.8535717,0.8756269,0.8757881,0.94242465,0.92535,0.8176716,0.8312653
MINAS-BR,17,0.8659139,0.69063133,0.0,0.92294747,0.8527467,0.87454265,0.72806233,0.9390174,0.76735044,0.818353,0.6926014
MINAS-BR,18,0.8441609,0.67062354,0.0,0.8989234,0.83264893,0.87195367,0.84439516,0.9349797,0.85254145,0.8168881,0.8364031
MINAS-BR,19,0.83389604,0.65462375,0.0,0.88444376,0.8277277,0.8689046,0.8416991,0.9303222,0.85108453,0.81509405,0.8325184
MINAS-BR,20,0.82389635,0.6396681,0.0,0.8710944,0.82211685,0.865461,0.8366358,0.92520493,0.84679145,0.81296474,0.82672095
MINAS-BR,21,0.8139572,0.62364537,0.0,0.8578643,0.8167593,0.8617089,0.83070743,0.919724,0.84073,0.8105784,0.8209209
