timestamp;actual;predicted
1;[4];[4]
2;[3, 4];[3, 4]
3;[3];[3]
4;[0, 2];[0, 2]
5;[4];[4]
6;[0, 2];[0, 2]
7;[2];[2]
8;[0, 2];[0, 2]
9;[4];[4]
10;[3, 4];[3]
11;[1];[1]
12;[4];[3]
13;[0, 2];[0, 2]
14;[3];[3]
15;[0, 2];[2]
16;[1];[1]
17;[0, 2];[2]
18;[2];unknwon
19;[4];[4]
20;[3];[3]
21;[3, 4];[3]
22;[1];[1]
23;[3, 4];[4]
24;[0, 2];[0, 2]
25;[3];[3]
26;[4];[4]
27;[1];[1]
28;[3];[3]
29;[3, 4];[3, 4]
30;[3];[3]
31;[0, 2];[0, 2]
32;[0, 2];[0, 2]
33;[0, 2];[0, 2]
34;[0, 2];[2]
35;[1];[1]
36;[1];[1]
37;[0, 2];[0, 2]
38;[0, 2];[0, 2]
39;[0, 2];[0, 2]
40;[3, 4];[3, 4]
41;[2];[2]
42;[0];[0]
43;[0, 2];[0, 2]
44;[1];[1]
45;[1];[1]
46;[2];unknwon
47;[3, 4];[3]
48;[1];[1]
49;[0, 2];[2]
50;[0, 2];[0, 2]
51;[3, 4];[3]
52;[4];[4]
53;[0, 2];[2]
54;[0, 2];[0, 2]
55;[0, 2];[0, 2]
56;[4];unknwon
57;[3, 4];[4]
58;[0, 2];[0, 2]
59;[3, 4];[3, 4]
60;[0, 2];[2]
61;[3];[3]
62;[0, 2];[2]
63;[3];[3]
64;[0, 2];[2]
65;[0, 2];[2]
66;[1];[1]
67;[1];[1]
68;[1];[1]
69;[3, 4];[3, 4]
70;[0, 2];[0, 2]
71;[3, 4];[3, 4]
72;[0, 2];[0, 2]
73;[1];[1]
74;[3, 4];[3]
75;[4];unknwon
76;[0, 2];[0, 2]
77;[0, 2];[2]
78;[3];[3]
79;[0, 2];[0, 2]
80;[3, 4];[4]
81;[2];[2]
82;[3, 4];[3]
83;[0, 2];[0, 2]
84;[4];[4]
85;[1];[1]
86;[3];[3]
87;[0, 2];[0, 2]
88;[0, 2];[2]
89;[0, 2];[0, 2]
90;[3, 4];[4]
91;[1];[1]
92;[4];[4]
93;[2];unknwon
94;[4];[4]
95;[0, 2];[0, 2]
96;[1];[1]
97;[4];[4]
98;[3];[3]
99;[1];[1]
100;[0, 2];[2]
101;[0, 2];[0, 2]
102;[4];[4]
103;[4];[4]
104;[3, 4];[3]
105;[3, 4];[3]
106;[0, 2];[2]
107;[0, 2];[0, 2]
108;[4];[4]
109;[1];[1]
110;[1];[1]
111;[0, 2];[2]
112;[0, 2];[2]
113;[4];[4]
114;[3, 4];[3]
115;[1];[1]
116;[0, 2];[0, 2]
117;[1];[1]
118;[0, 2];[2]
119;[3];[3]
120;[0, 2];[0, 2]
121;[1];[1]
122;[4];[4]
123;[3, 4];[3]
124;[3];[3]
125;[1];[1]
126;[0, 2];[2]
127;[3];unknwon
128;[0, 2];[0, 2]
129;[1];[1]
130;[0, 2];[0, 2]
131;[3, 4];[3]
132;[1];[2]
133;[3, 4];[3]
134;[3, 4];[3]
135;[1];[1]
136;[3, 4];[3, 4]
137;[0, 2];[2]
138;[3, 4];[3, 4]
139;[0, 2];[0, 2]
140;[0, 2];[2]
141;[1];[1]
142;[3, 4];[4]
143;[3];[3]
144;[3, 4];[3]
145;[0, 2];[2]
146;[3];[3]
147;[4];[4]
148;[3];[3]
149;[0, 2];[2]
150;[1];[1]
151;[0, 2];[0, 2]
152;[0, 2];[0, 2]
153;[0, 2];[2]
154;[3, 4];[3, 4]
155;[4];[4]
156;[0, 2];[0, 2]
157;[3];[3]
158;[4];[4]
159;[3, 4];[3, 4]
160;[0, 2];[0, 2]
161;[4];[4]
162;[3];[3]
163;[0, 2];[0, 2]
164;[4];[4]
165;[0, 2];[0, 2]
166;[4];[4]
167;[3, 4];[3]
168;[1];[1]
169;[4];[3, 4]
170;[1];[1]
171;[3];[3]
172;[0, 2];[2]
173;[1];[1]
174;[0, 2];[0, 2]
175;[3];[3]
176;[0, 2];[0, 2]
177;[0, 2];[0, 2]
178;[1];[1]
179;[3, 4];[3, 4]
180;[4];[4]
181;[3, 4];[3, 4]
182;[3, 4];[3]
183;[0, 2];[0, 2]
184;[3, 4];[3, 4]
185;[4];[4]
186;[0, 2];[0, 2]
187;[4];[4]
188;[3, 4];[4]
189;[0, 2];[0, 2]
190;[1];[1]
191;[3, 4];[4]
192;[0, 2];[0, 2]
193;[3, 4];[4]
194;[1];[1]
195;[0, 2];[2]
196;[3];[3]
197;[3, 4];[3, 4]
198;[3, 4];[3, 4]
199;[0, 2];[2]
200;[0, 2];[2]
201;[4];[4]
202;[3];[3]
203;[4];[4]
204;[0, 2];[0, 2]
205;[0, 2];[2]
206;[0, 2];[0, 2]
207;[1];[1]
208;[0, 2];[0, 2]
209;[3];[3]
210;[2];[2]
211;[3, 4];[3, 4]
212;[3, 4];[3]
213;[3, 4];[3]
214;[4];[4]
215;[3, 4];[3]
216;[4];[4]
217;[4];[4]
218;[4];[4]
219;[1];[1]
220;[0, 2];[0, 2]
221;[3, 4];[4]
222;[4];[4]
223;[0, 2];[0, 2]
224;[0];[0]
225;[0, 2];[0, 2]
226;[1];unknwon
227;[0, 2];[0, 2]
228;[1];[1]
229;[1];[1]
230;[0, 2];[2]
231;[0, 2];[0, 2]
232;[4];[4]
233;[3];[3]
234;[3, 4];[3, 4]
235;[1];[1]
236;[0, 2];[0, 2]
