Timestamp: 2000 - removed micro-clusters: 0 - model's size [0]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [1]:3
Timestamp: 2000 - removed micro-clusters: 0 - model's size [2]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [3]:4
Timestamp: 2000 - removed micro-clusters: 0 - model's size [4]:3
Removed examples from short-time-memory: 18	 True labels: [2]
Removed examples from short-time-memory: 46	 True labels: [2]
Removed examples from short-time-memory: 56	 True labels: [4]
Removed examples from short-time-memory: 75	 True labels: [4]
Removed examples from short-time-memory: 93	 True labels: [2]
Removed examples from short-time-memory: 127	 True labels: [3]
Removed examples from short-time-memory: 226	 True labels: [1]
Removed examples from short-time-memory: 287	 True labels: [2]
Removed examples from short-time-memory: 377	 True labels: [2]
Removed examples from short-time-memory: 388	 True labels: [4]
Removed examples from short-time-memory: 393	 True labels: [4]
Removed examples from short-time-memory: 597	 True labels: [1, 2]
Removed examples from short-time-memory: 642	 True labels: [2]
Removed examples from short-time-memory: 650	 True labels: [0]
Removed examples from short-time-memory: 657	 True labels: [2]
Removed examples from short-time-memory: 672	 True labels: [2]
Removed examples from short-time-memory: 699	 True labels: [3]
Removed examples from short-time-memory: 795	 True labels: [2]
Removed examples from short-time-memory: 796	 True labels: [2]
Removed examples from short-time-memory: 801	 True labels: [2]
Removed examples from short-time-memory: 808	 True labels: [2]
Removed examples from short-time-memory: 929	 True labels: [2]
Removed examples from short-time-memory: 981	 True labels: [1, 2]
Removed examples from short-time-memory: 992	 True labels: [4]
Removed examples from short-time-memory: 995	 True labels: [4]
Removed examples from short-time-memory: 1074	 True labels: [3]
Removed examples from short-time-memory: 1093	 True labels: [2]
Removed examples from short-time-memory: 1149	 True labels: [2]
Removed examples from short-time-memory: 1171	 True labels: [4]
Removed examples from short-time-memory: 1173	 True labels: [2]
Removed examples from short-time-memory: 1180	 True labels: [3]
Removed examples from short-time-memory: 1186	 True labels: [3]
Removed examples from short-time-memory: 1187	 True labels: [3]
Removed examples from short-time-memory: 1199	 True labels: [3]
