Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
7795,NP1,0,13090,4
7795,NP2,,,
7795,NP3,,,
7795,NP4,0,13090,4
7795,NP5,0,26180,9
7795,NP6,0,28798,10
11592,NP7,0,13090,4
11592,NP8,,,
11592,NP9,0,13090,4
11592,NP10,,,
11592,NP11,0,13090,4
11592,NP12,0,13090,4
11592,NP13,,,
11592,NP14,,,
11592,NP15,0,13090,4
11592,NP16,0,13090,4
11592,NP17,,,
11592,NP18,0,13090,4
29399,NP19,0,31416,11
29399,NP20,1,49742,18
29399,NP21,0,31416,11
29399,NP22,0,31416,11
29399,NP23,1,49742,18
29399,NP24,,,
29399,NP25,0,31416,11
29399,NP26,0,31416,11
29399,NP27,0,31416,11
29399,NP28,0,31416,11
58390,NP29,1,73304,27
58390,NP30,1,78540,29
58390,NP31,0,60214,22
58390,NP32,1,60214,22
58390,NP33,1,70686,26
58390,NP34,0,60214,22
58390,NP35,0,60214,22
58390,NP36,0,60214,22
58390,NP37,1,60214,22
