Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
MINAS-BR,1,0.958331,0.811562,0.0,0.9902724,0.94144684,0.9475942,0.9442497,0.98880714,0.99004906,0.9096793,0.90250033
MINAS-BR,2,0.95574105,0.8023902,0.0,0.9902724,0.937469,0.9460243,0.94157577,0.98883337,0.98992926,0.9067681,0.897726
MINAS-BR,3,0.9517964,0.78432465,0.0,0.9913841,0.9297123,0.9431772,0.9368717,0.98952353,0.990952,0.9009781,0.88838863
MINAS-BR,4,0.9452843,0.75844806,0.0,0.9917953,0.91893816,0.93936056,0.9299661,0.9900255,0.9914147,0.89362866,0.8756902
MINAS-BR,5,0.9402847,0.7389223,0.0,0.99170566,0.9111567,0.9357918,0.9250214,0.99023914,0.9913421,0.8870198,0.867018
MINAS-BR,6,0.93363917,0.71273434,0.0,0.9913836,0.9008749,0.9317507,0.9179374,0.990283,0.99097127,0.8797515,0.8549296
MINAS-BR,7,0.9285014,0.6947519,1.5927371E-4,0.9905498,0.8933952,0.9279362,0.91266245,0.9901023,0.9898742,0.87311536,0.8466244
MINAS-BR,8,0.9232267,0.6748727,3.4869934E-4,0.98964375,0.88570046,0.9242275,0.9074405,0.9897763,0.9887874,0.8668214,0.83846086
MINAS-BR,9,0.91837627,0.6579813,4.963087E-4,0.9889676,0.87871945,0.92067534,0.902851,0.9894214,0.9881484,0.8608617,0.8311092
MINAS-BR,10,0.91256475,0.6381884,0.0010623428,0.9875874,0.8705503,0.91709113,0.8972566,0.9889684,0.98690176,0.85495394,0.8225412
MINAS-BR,11,0.9064727,0.6180181,0.001627836,0.98610395,0.8619251,0.91342396,0.8914907,0.9884544,0.9857233,0.84898055,0.8137029
MINAS-BR,12,0.9009679,0.6000187,0.0018206433,0.9843609,0.85453254,0.90980226,0.8863577,0.98782474,0.98410445,0.84320253,0.8062741
MINAS-BR,13,0.89523035,0.582794,0.0024160843,0.9821809,0.84691566,0.9062177,0.8813287,0.9870998,0.98240167,0.8375866,0.7991131
MINAS-BR,14,0.89003384,0.5682602,0.003288682,0.9797658,0.84027255,0.90272194,0.87685186,0.986277,0.9805729,0.83221835,0.7929742
MINAS-BR,15,0.8844878,0.5533893,0.00434913,0.9771348,0.83303493,0.8992687,0.8721385,0.9853851,0.97867626,0.82699466,0.7865188
MINAS-BR,16,0.87932366,0.5409097,0.0056330096,0.97416914,0.82668245,0.8959012,0.86794496,0.98440063,0.9765217,0.82200164,0.781097
MINAS-BR,17,0.87444067,0.52935684,0.005334578,0.9709808,0.8209192,0.8926477,0.6479907,0.98331374,0.7304857,0.8172897,0.58223766
MINAS-BR,18,0.8695867,0.51844513,0.0051147626,0.9678713,0.81511664,0.8895199,0.64516264,0.9821701,0.72876674,0.8128426,0.5787665
MINAS-BR,19,0.8696306,0.52766436,0.004840125,0.965991,0.8165109,0.8869029,0.89317125,0.98110896,0.9732216,0.80920327,0.8252888
MINAS-BR,20,0.86756355,0.5288514,0.00464836,0.96263975,0.81592476,0.8845681,0.89156324,0.97988284,0.9693978,0.8061523,0.82529867
MINAS-BR,21,0.86442506,0.5283585,0.004503521,0.95822567,0.8143198,0.8823846,0.8895902,0.97844493,0.9656099,0.8034998,0.8246666
MINAS-BR,22,0.8613578,0.5285759,0.004476369,0.95363545,0.81278574,0.88034475,0.88759184,0.97683877,0.96210355,0.80120057,0.82379186
