Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.958331,0.811562,0.0,0.9902724,0.94144684,0.9475942,0.9442497,0.98880714,0.99004906,0.9096793,0.90250033,4.4923628E-4,1,0
2,0.95574105,0.8023902,0.0,0.9902724,0.937469,0.9460243,0.94157577,0.98883337,0.98992926,0.9067681,0.897726,6.8027206E-4,1,0
3,0.9517964,0.78432465,0.0,0.9913841,0.9297123,0.9431772,0.9368717,0.98952353,0.990952,0.9009781,0.88838863,7.329229E-4,1,1
4,0.9452843,0.75844806,0.0,0.9917953,0.91893816,0.93936056,0.9299661,0.9900255,0.9914147,0.89362866,0.8756902,0.0013067625,6,1
5,0.9402847,0.7389223,0.0,0.99170566,0.9111567,0.9357918,0.9250214,0.99023914,0.9913421,0.8870198,0.867018,0.002330399,9,1
6,0.93363917,0.71273434,0.0,0.9913836,0.9008749,0.9317507,0.9179374,0.990283,0.99097127,0.8797515,0.8549296,0.002918357,8,9
7,0.9284775,0.6947519,1.5927371E-4,0.9905498,0.8933686,0.9279305,0.9126425,0.9901022,0.9898736,0.8731054,0.8465905,0.0036889212,17,11
8,0.9232058,0.6748727,3.4869934E-4,0.98964375,0.88567716,0.9242186,0.9074231,0.98977613,0.9887869,0.866806,0.83843154,0.0043317154,18,16
9,0.9183577,0.6579813,4.963087E-4,0.9889676,0.87869877,0.9206648,0.9028354,0.98942125,0.9881478,0.86084336,0.83108324,0.0049532196,20,17
10,0.9125368,0.6381325,0.0010623428,0.9875874,0.870513,0.91707665,0.89722854,0.9889681,0.9869008,0.85492903,0.8224947,0.0059127863,34,23
11,0.90644723,0.61796725,0.001627836,0.98610395,0.86189127,0.91340715,0.8914651,0.98845404,0.98572236,0.84895176,0.8136609,0.0076046507,27,0
12,0.90094453,0.599972,0.0018206433,0.9843609,0.8545014,0.9097839,0.8863342,0.9878243,0.9841036,0.84317136,0.8062358,0.008990099,37,36
13,0.8952088,0.58275086,0.0024160843,0.9821809,0.8468869,0.9061985,0.88130695,0.98709935,0.98240083,0.83755416,0.7990779,0.010391787,43,35
14,0.8900017,0.5682201,0.003288682,0.9797658,0.8402325,0.9027008,0.8768212,0.9862764,0.98057145,0.8321828,0.7929251,0.011539657,44,42
15,0.88445777,0.5533518,0.00434913,0.9771348,0.8329975,0.8992463,0.8721099,0.98538446,0.9786749,0.8269571,0.7864732,0.01291681,62,44
16,0.87929547,0.54087454,0.0056330096,0.97416914,0.8266473,0.8958778,0.86791795,0.9843999,0.97652024,0.82196283,0.78105426,0.014332642,68,55
17,0.87441397,0.5293235,0.005334578,0.9709808,0.82088596,0.8926238,0.6479716,0.98331296,0.73048466,0.8172502,0.5822073,0.26166615,211,73
18,0.86956114,0.5184131,0.0051147626,0.9678713,0.81508476,0.88949555,0.6451441,0.9821692,0.72876567,0.81280273,0.5787375,0.2628,511,76
19,0.8696064,0.5276341,0.004840125,0.965991,0.8164807,0.88687855,0.8931541,0.98110807,0.9732205,0.8091633,0.8252602,0.11370764,25,0
20,0.86754054,0.5288227,0.00464836,0.96263975,0.81589615,0.88454354,0.8915468,0.9798819,0.9693966,0.80611235,0.82527125,0.092557654,6,1
21,0.8644032,0.5283312,0.004503521,0.95822567,0.81429255,0.8823602,0.8895744,0.97844386,0.9656087,0.8034601,0.8246402,0.07906129,13,0
22,0.86133695,0.52854985,0.004476369,0.95363545,0.8127598,0.88032055,0.8875765,0.9768377,0.9621023,0.8011612,0.82376635,0.06831381,14,6
23,0.8574978,0.52639955,0.0043771295,0.9485284,0.8104099,0.8783295,0.8846724,0.97504,0.957893,0.7990725,0.8218508,0.060869332,15,15
24,0.85278857,0.5225167,0.004215189,0.9431413,0.80678326,0.8763138,0.8814242,0.97306895,0.9545753,0.7970598,0.8186865,0.055196688,18,14
25,0.8488252,0.5185659,0.004090213,0.93822485,0.8040486,0.87431985,0.87846655,0.97096133,0.9510275,0.7951748,0.81619304,0.05154668,28,14
26,0.8439816,0.5134399,0.0040187985,0.9329568,0.80017793,0.8722748,0.8743545,0.9687197,0.9474758,0.793295,0.81171083,0.048227552,27,27
27,0.83923,0.50792813,0.0039323466,0.9281859,0.7960586,0.87019384,0.86994064,0.9664031,0.9443153,0.7914063,0.80642617,0.045078386,36,35
28,0.8341775,0.5016005,0.0039757784,0.9233819,0.7915438,0.86805457,0.86491275,0.9640192,0.94102585,0.7894662,0.8001909,0.043062072,53,31
