Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
950,NP1,3,34200,18
950,NP2,,,
950,NP3,4,70200,38
950,NP4,,,
950,NP5,,,
950,NP6,,,
1399,NP7,,,
1399,NP8,,,
1399,NP9,,,
1399,NP10,,,
1399,NP11,,,
1399,NP12,,,
1399,NP13,,,
1399,NP14,,,
2385,NP15,,,
2385,NP16,3,30600,16
2385,NP17,,,
2385,NP18,,,
2385,NP19,,,
3799,NP20,4,70200,38
3799,NP21,,,
3799,NP22,3,34200,18
3799,NP23,,,
3799,NP24,,,
3799,NP25,,,
10121,NP26,,,
10121,NP27,,,
10121,NP28,,,
10121,NP29,,,
10121,NP30,,,
27187,NP31,,,
27187,NP32,3,30600,16
27187,NP33,3,30600,16
27187,NP34,,,
27187,NP35,,,
27187,NP36,4,70200,38
30167,NP37,3,30600,16
30167,NP38,4,70200,38
30167,NP39,,,
30167,NP40,3,30600,16
30167,NP41,3,30600,16
43574,NP42,,,
43574,NP43,3,45000,24
43574,NP44,3,45000,24
43574,NP45,3,45000,24
43574,NP46,4,70200,38
70103,NP47,4,70200,38
70103,NP48,4,70200,38
70103,NP49,4,70200,38
70103,NP50,4,72000,39
70103,NP51,4,70200,38
73397,NP52,4,73800,40
73397,NP53,,,
73397,NP54,,,
73397,NP55,4,73800,40
73397,NP56,3,73800,40
73397,NP57,3,73800,40
73397,NP58,4,73800,40
76349,NP59,3,77400,42
76349,NP60,4,77400,42
76349,NP61,4,77400,42
76349,NP62,3,77400,42
76349,NP63,4,77400,42
76349,NP64,3,77400,42
76349,NP65,3,77400,42
87716,NP66,3,88200,48
87716,NP67,4,88200,48
87716,NP68,4,88200,48
87716,NP69,3,88200,48
87716,NP70,4,88200,48
87716,NP71,3,88200,48
87716,NP72,4,88200,48
87716,NP73,4,88200,48
