Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRM,unk,removedUnk
1,0.16939713,0.07536042,0.57929224,0.18971175,0.16437298,0.2889734,0.2741793,0.98015875,0.9881797,0.16946827,0.15917142,0.044603575,274,76
2,0.12542471,0.037624378,0.664801,0.13653116,0.12588115,0.24930641,0.21189393,0.97384155,0.9848485,0.14295118,0.118718326,0.07027987,110,57
3,0.11278196,0.026955817,0.7018646,0.12320969,0.11326182,0.22888619,0.1909689,0.9716227,0.98540145,0.12972252,0.10572954,0.09500766,82,52
4,0.1051893,0.02054589,0.73680264,0.11641392,0.10462889,0.21451595,0.17543386,0.9705808,0.9859713,0.12058355,0.09628273,0.11832085,66,66
5,0.10248402,0.016872624,0.75071293,0.1152859,0.10074024,0.2054712,0.17009464,0.96880925,0.9844735,0.11492232,0.09308916,0.12908448,52,43
6,0.10041135,0.014581281,0.76463056,0.114449665,0.09763482,0.19877344,0.16561022,0.96715146,0.98339486,0.110769674,0.09041867,0.13322867,66,51
7,0.098039754,0.012456864,0.77283055,0.113388374,0.09431001,0.19328076,0.16107133,0.9658038,0.9827214,0.10738561,0.087724864,0.14612882,69,64
8,0.095799804,0.01101079,0.78565663,0.111619145,0.091585614,0.18865035,0.15754558,0.96440935,0.98143667,0.104550906,0.085647054,0.15539916,58,47
9,0.09408021,0.009897122,0.79333246,0.1107191,0.089356974,0.18472762,0.15473758,0.96329886,0.98096913,0.10215911,0.083993316,0.16061012,65,65
10,0.09265132,0.009014282,0.80010533,0.10996219,0.08746115,0.1813799,0.15260357,0.9624064,0.980416,0.10012497,0.08274119,0.16285653,74,54
11,0.09124052,0.00818844,0.8092731,0.10910907,0.08569656,0.178412,0.15052563,0.96170896,0.97993183,0.09832655,0.081524216,0.16890748,77,60
12,0.089343004,0.0074939174,0.8148905,0.10770514,0.08348114,0.17557271,0.14761466,0.96048796,0.9774711,0.09661691,0.07983559,0.17395748,57,42
13,0.08780373,0.006916375,0.82107246,0.10653012,0.081688695,0.1729582,0.14549237,0.9590462,0.97538704,0.09504994,0.07860898,0.18230677,84,60
14,0.086160414,0.0064145285,0.8259747,0.105186895,0.07978135,0.17053063,0.14373651,0.95748943,0.9731838,0.093600534,0.07759882,0.18537186,58,48
15,0.08411446,0.0059782607,0.8335404,0.10305986,0.07762291,0.16809906,0.14078926,0.9557845,0.9708986,0.09215328,0.07589755,0.18982811,48,45
16,0.08258301,0.0056016296,0.83937144,0.10161081,0.07593954,0.16578025,0.13865653,0.9539149,0.96834755,0.09077827,0.07467454,0.19376086,68,61
17,0.08555378,0.009866392,0.8224392,0.104718424,0.07877299,0.16389696,0.4479939,0.9490311,0.8442401,0.08969348,0.30489203,0.14807995,102,54
18,0.09654968,0.021584364,0.8024076,0.11634828,0.08938058,0.163081,0.452343,0.9423679,0.88417184,0.08926429,0.3039124,0.14813666,88,67
19,0.10684121,0.032421324,0.78492117,0.12724097,0.0992842,0.16305739,0.4523724,0.935068,0.894541,0.08931619,0.30273268,0.14913611,100,58
20,0.115664415,0.04137429,0.7691367,0.13668843,0.10769215,0.16357692,0.45093155,0.92664,0.8918266,0.08970624,0.30175295,0.14875592,57,57
21,0.12305164,0.04874667,0.75618345,0.14460826,0.11469459,0.1644535,0.44968376,0.9180258,0.89116454,0.090316296,0.30071184,0.15031558,81,54
22,0.13111536,0.056793522,0.74202085,0.15319578,0.122404926,0.16567248,0.4481602,0.90895027,0.88833535,0.091142416,0.29967135,0.15118341,78,53
23,0.13778222,0.06322261,0.73051333,0.16051877,0.12867256,0.16708462,0.44632655,0.89939964,0.88342535,0.092096895,0.29859066,0.15255749,59,61
24,0.1441736,0.06843904,0.7200155,0.16808832,0.13443975,0.16867043,0.44454768,0.88973624,0.87934047,0.09316614,0.2974651,0.15297945,64,59
25,0.14898448,0.072114825,0.7105171,0.17400214,0.13867532,0.1703105,0.44283637,0.8801485,0.87502545,0.0942766,0.29642656,0.15532474,76,53
26,0.15346651,0.07533542,0.7012075,0.17983933,0.14251092,0.17198958,0.44100952,0.8706578,0.8703247,0.09541935,0.2953291,0.15560159,67,46
27,0.15808603,0.07737044,0.6909921,0.18649389,0.14617409,0.17375259,0.43945226,0.8616119,0.86700344,0.09661832,0.29431486,0.15708886,94,66
28,0.16276118,0.07904408,0.6807715,0.19358389,0.1497478,0.17560689,0.43800807,0.85332304,0.86529595,0.09787431,0.29321626,0.15791598,63,65
29,0.16698867,0.08013309,0.67090917,0.2004045,0.1528302,0.17753468,0.4364136,0.8457156,0.86282754,0.09917709,0.2920707,0.15869896,71,63
30,0.17015056,0.08051923,0.6616681,0.20582353,0.1549783,0.17946605,0.43476215,0.83866143,0.8595586,0.10048441,0.2909659,0.16012606,77,60
31,0.17386396,0.08070774,0.65162224,0.2122295,0.15749227,0.18145692,0.43331856,0.83227193,0.8571379,0.101829164,0.28995016,0.16168918,62,57
32,0.17729138,0.08044516,0.64212704,0.21835263,0.15970892,0.18349339,0.43189245,0.82646966,0.8543736,0.103203334,0.28898942,0.1630189,72,62
33,0.1806884,0.08001408,0.63155854,0.22459,0.16185276,0.18557787,0.4306196,0.821223,0.85211,0.10460851,0.28810865,0.16299988,66,63
34,0.18372269,0.07927423,0.6212264,0.23040067,0.16366373,0.18767072,0.42905074,0.81593376,0.847242,0.10602909,0.28726113,0.16329046,84,68
35,0.18679844,0.078608416,0.61024433,0.23630795,0.16552073,0.18978345,0.42766196,0.81078136,0.84327924,0.1074697,0.28647187,0.16535082,83,46
36,0.18996921,0.07746297,0.59968054,0.24264386,0.16733357,0.19193564,0.4263497,0.80581933,0.8394066,0.108942114,0.28574145,0.16538386,70,60
37,0.19341043,0.07662372,0.58835346,0.24918921,0.16943946,0.19413996,0.42512688,0.80108416,0.8357563,0.11045406,0.28506622,0.16734377,51,39
38,0.19659844,0.0753365,0.577972,0.25562742,0.17124343,0.19638379,0.42402312,0.79665625,0.8328442,0.11199596,0.28441256,0.16749088,74,56
39,0.20004094,0.07427644,0.56379527,0.26240295,0.17328566,0.19864878,0.52878404,0.7916956,0.6941795,0.11357301,0.42703786,0.13670342,85,59
40,0.20805264,0.07440416,0.54993176,0.2761283,0.17893733,0.20119107,0.55172944,0.7874508,0.78084093,0.11532856,0.42656755,0.13600633,74,48
41,0.21594839,0.07435208,0.5365954,0.28968394,0.18448521,0.20397806,0.5570632,0.7839154,0.8041867,0.11724253,0.42611867,0.13688019,84,60
42,0.22347927,0.07408841,0.5237332,0.30272,0.18972874,0.2069672,0.558454,0.78091437,0.8115945,0.11929163,0.42568165,0.13683024,64,67
43,0.23061833,0.07394908,0.5114879,0.31505415,0.19474383,0.21011655,0.5587837,0.7783786,0.8150028,0.121450536,0.42513165,0.13755295,68,48
44,0.23779495,0.07341712,0.4996901,0.3275493,0.19973123,0.213417,0.558887,0.77632654,0.8178175,0.12371327,0.42448893,0.13751532,51,50
45,0.24479294,0.0733072,0.48849982,0.3393015,0.20475332,0.21683587,0.55832314,0.7746697,0.81914693,0.12606058,0.4234825,0.13908407,63,45
46,0.2517208,0.07291916,0.47776362,0.35122475,0.20962183,0.22035986,0.55807215,0.7734337,0.8210985,0.12848306,0.42267475,0.13952252,57,61
47,0.25814798,0.07251974,0.46754688,0.36216167,0.21418281,0.22395487,0.55711526,0.7724941,0.8216403,0.13096099,0.42143527,0.14142737,67,64
48,0.26408872,0.07193949,0.45780775,0.37231264,0.21835855,0.22759154,0.5563753,0.7718253,0.82204473,0.13347495,0.4204831,0.14181468,76,52
49,0.26975968,0.07143702,0.4483599,0.3819293,0.22238831,0.2312566,0.55512685,0.77134216,0.8217986,0.13601816,0.41912255,0.14412645,56,51
50,0.2751424,0.07096557,0.43936038,0.39097255,0.22621717,0.23493001,0.55418974,0.77101254,0.8212558,0.1385775,0.41819572,0.14598893,69,70
