Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
227,NP1,,,
270,NP2,,,
291,NP3,,,
314,NP4,,,
337,NP5,,,
358,NP6,,,
358,NP7,,,
358,NP8,,,
358,NP9,,,
358,NP10,,,
358,NP11,4,70200,38
383,NP12,,,
404,NP13,,,
425,NP14,,,
446,NP15,,,
469,NP16,,,
469,NP17,,,
469,NP18,3,48600,26
491,NP19,,,
491,NP20,,,
491,NP21,,,
491,NP22,,,
514,NP23,,,
514,NP24,,,
514,NP25,,,
537,NP26,,,
565,NP27,3,61200,33
565,NP28,,,
565,NP29,,,
586,NP30,,,
586,NP31,,,
628,NP32,,,
698,NP33,,,
742,NP34,4,70200,38
742,NP35,,,
799,NP36,,,
829,NP37,,,
829,NP38,,,
852,NP39,3,30600,16
852,NP40,3,61200,33
881,NP41,,,
912,NP42,,,
941,NP43,,,
941,NP44,,,
1027,NP45,,,
1091,NP46,,,
1157,NP47,,,
1245,NP48,,,
1393,NP49,,,
1393,NP50,,,
1539,NP51,,,
1682,NP52,,,
1682,NP53,,,
1791,NP54,,,
1885,NP55,,,
1993,NP56,,,
2109,NP57,,,
2197,NP58,,,
2197,NP59,,,
2381,NP60,3,66600,36
2588,NP61,4,70200,38
2926,NP62,,,
2998,NP63,,,
2998,NP64,,,
3347,NP65,,,
3347,NP66,,,
3692,NP67,,,
3692,NP68,,,
3692,NP69,,,
4287,NP70,,,
4287,NP71,,,
4513,NP72,,,
4513,NP73,,,
7287,NP74,,,
7287,NP75,,,
9591,NP76,,,
10149,NP77,,,
13353,NP78,,,
13353,NP79,4,70200,38
13353,NP80,,,
16383,NP81,,,
16383,NP82,,,
17132,NP83,,,
17354,NP84,,,
17354,NP85,,,
19534,NP86,,,
19778,NP87,,,
19778,NP88,,,
20520,NP89,,,
20520,NP90,,,
20520,NP91,,,
21955,NP92,,,
22591,NP93,,,
22591,NP94,,,
22881,NP95,,,
22881,NP96,,,
24170,NP97,,,
24170,NP98,3,59400,32
28765,NP99,3,30600,16
29167,NP100,4,70200,38
29167,NP101,,,
30092,NP102,3,30600,16
30149,NP103,3,30600,16
30149,NP104,3,30600,16
30149,NP105,3,30600,16
30245,NP106,3,30600,16
30323,NP107,3,30600,16
30597,NP108,3,30600,16
30597,NP109,3,30600,16
30978,NP110,3,32400,17
31517,NP111,3,32400,17
31880,NP112,3,32400,17
31880,NP113,3,32400,17
32867,NP114,3,34200,18
32918,NP115,3,34200,18
33131,NP116,3,34200,18
33131,NP117,,,
33763,NP118,,,
33855,NP119,,,
34149,NP120,,,
34149,NP121,3,34200,18
36353,NP122,3,37800,20
37192,NP123,,,
37192,NP124,3,37800,20
38163,NP125,4,70200,38
38163,NP126,,,
38351,NP127,,,
38351,NP128,,,
38895,NP129,3,39600,21
38895,NP130,3,39600,21
43556,NP131,3,45000,24
43556,NP132,,,
43556,NP133,,,
44984,NP134,4,70200,38
45178,NP135,3,46800,25
45178,NP136,,,
45884,NP137,,,
45884,NP138,,,
45884,NP139,3,46800,25
46942,NP140,3,48600,26
46942,NP141,,,
47319,NP142,3,48600,26
47985,NP143,,,
47985,NP144,3,48600,26
48347,NP145,3,48600,26
50981,NP146,3,52200,28
52391,NP147,,,
52391,NP148,3,54000,29
52562,NP149,,,
52562,NP150,,,
54790,NP151,,,
54790,NP152,3,55800,30
57100,NP153,3,57600,31
57100,NP154,3,57600,31
58367,NP155,3,59400,32
61150,NP156,,,
61376,NP157,4,70200,38
61376,NP158,3,63000,34
61989,NP159,,,
61989,NP160,,,
62775,NP161,,,
62775,NP162,,,
62976,NP163,,,
62976,NP164,,,
64156,NP165,,,
64156,NP166,,,
64156,NP167,3,64800,35
66587,NP168,3,66600,36
66797,NP169,3,68400,37
66797,NP170,4,70200,38
67122,NP171,,,
67122,NP172,,,
69127,NP173,,,
69127,NP174,,,
70101,NP175,4,70200,38
70160,NP176,3,70200,38
70160,NP177,4,70200,38
70317,NP178,4,72000,39
70317,NP179,4,72000,39
70317,NP180,4,72000,39
71194,NP181,4,72000,39
71194,NP182,3,72000,39
71555,NP183,3,72000,39
71555,NP184,3,72000,39
73109,NP185,4,73800,40
73109,NP186,4,75600,41
73759,NP187,4,73800,40
73759,NP188,4,73800,40
75968,NP189,,,
75968,NP190,4,77400,42
76338,NP191,4,77400,42
76338,NP192,3,77400,42
79797,NP193,4,81000,44
79797,NP194,,,
84930,NP195,,,
85096,NP196,3,86400,47
85096,NP197,,,
85683,NP198,3,86400,47
85683,NP199,,,
